# E(GeV)	Re_Tmatrix(GeV^-2)
4.960000	-3.183950e+00
4.970000	-3.185660e+00
4.980000	-3.187350e+00
4.990000	-3.189030e+00
5.000000	-3.190700e+00
5.010000	-3.192350e+00
5.020000	-3.193990e+00
5.030000	-3.195620e+00
5.040000	-3.197240e+00
5.050000	-3.198840e+00
5.060000	-3.200440e+00
5.070000	-3.202020e+00
5.080000	-3.203590e+00
5.090000	-3.205150e+00
5.100000	-3.206700e+00
5.110000	-3.208230e+00
5.120000	-3.209760e+00
5.130000	-3.211270e+00
5.140000	-3.212770e+00
5.150000	-3.214270e+00
5.160000	-3.215750e+00
5.170000	-3.217220e+00
5.180000	-3.218680e+00
5.190000	-3.220120e+00
5.200000	-3.221560e+00
5.210000	-3.222990e+00
5.220000	-3.224400e+00
5.230000	-3.225810e+00
5.240000	-3.227200e+00
5.250000	-3.228590e+00
5.260000	-3.229960e+00
5.270000	-3.231330e+00
5.280000	-3.232680e+00
5.290000	-3.234030e+00
5.300000	-3.235360e+00
5.310000	-3.236690e+00
5.320000	-3.238000e+00
5.330000	-3.239310e+00
5.340000	-3.240600e+00
5.350000	-3.241890e+00
5.360000	-3.243160e+00
5.370000	-3.244430e+00
5.380000	-3.245690e+00
5.390000	-3.246940e+00
5.400000	-3.248180e+00
5.410000	-3.249410e+00
5.420000	-3.250630e+00
5.430000	-3.251840e+00
5.440000	-3.253050e+00
5.450000	-3.254240e+00
5.460000	-3.255430e+00
5.470000	-3.256610e+00
5.480000	-3.257780e+00
5.490000	-3.258940e+00
5.500000	-3.260090e+00
5.510000	-3.261230e+00
5.520000	-3.262370e+00
5.530000	-3.263490e+00
5.540000	-3.264610e+00
5.550000	-3.265730e+00
5.560000	-3.266830e+00
5.570000	-3.267930e+00
5.580000	-3.269010e+00
5.590000	-3.270090e+00
5.600000	-3.271170e+00
5.610000	-3.272230e+00
5.620000	-3.273290e+00
5.630000	-3.274340e+00
5.640000	-3.275380e+00
5.650000	-3.276410e+00
5.660000	-3.277440e+00
5.670000	-3.278460e+00
5.680000	-3.279480e+00
5.690000	-3.280480e+00
5.700000	-3.281480e+00
5.710000	-3.282470e+00
5.720000	-3.283460e+00
5.730000	-3.284440e+00
5.740000	-3.285410e+00
5.750000	-3.286370e+00
5.760000	-3.287330e+00
5.770000	-3.288280e+00
5.780000	-3.289230e+00
5.790000	-3.290170e+00
5.800000	-3.291100e+00
5.810000	-3.292030e+00
5.820000	-3.292940e+00
5.830000	-3.293860e+00
5.840000	-3.294770e+00
5.850000	-3.295670e+00
5.860000	-3.296560e+00
5.870000	-3.297450e+00
5.880000	-3.298330e+00
5.890000	-3.299210e+00
5.900000	-3.300080e+00
5.910000	-3.300950e+00
5.920000	-3.301810e+00
5.930000	-3.302660e+00
5.940000	-3.303510e+00
5.950000	-3.304360e+00
5.960000	-3.305190e+00
5.970000	-3.306030e+00
5.980000	-3.306850e+00
5.990000	-3.307670e+00
6.000000	-3.308490e+00
6.010000	-3.309300e+00
6.020000	-3.310110e+00
6.030000	-3.310910e+00
6.040000	-3.311700e+00
6.050000	-3.312490e+00
6.060000	-3.313280e+00
6.070000	-3.314050e+00
6.080000	-3.314830e+00
6.090000	-3.315600e+00
6.100000	-3.316360e+00
6.110000	-3.317120e+00
6.120000	-3.317880e+00
6.130000	-3.318630e+00
6.140000	-3.319380e+00
6.150000	-3.320120e+00
6.160000	-3.320850e+00
6.170000	-3.321590e+00
6.180000	-3.322310e+00
6.190000	-3.323040e+00
6.200000	-3.323760e+00
6.210000	-3.324470e+00
6.220000	-3.325180e+00
6.230000	-3.325880e+00
6.240000	-3.326580e+00
6.250000	-3.327280e+00
6.260000	-3.327970e+00
6.270000	-3.328660e+00
6.280000	-3.329340e+00
6.290000	-3.330020e+00
6.300000	-3.330700e+00
6.310000	-3.331370e+00
6.320000	-3.332040e+00
6.330000	-3.332700e+00
6.340000	-3.333360e+00
6.350000	-3.334020e+00
6.360000	-3.334670e+00
6.370000	-3.335320e+00
6.380000	-3.335960e+00
6.390000	-3.336600e+00
6.400000	-3.337240e+00
6.410000	-3.337870e+00
6.420000	-3.338500e+00
6.430000	-3.339130e+00
6.440000	-3.339750e+00
6.450000	-3.340370e+00
6.460000	-3.340980e+00
6.470000	-3.341590e+00
6.480000	-3.342200e+00
6.490000	-3.342810e+00
6.500000	-3.343410e+00
