# E(GeV)	Re_Tmatrix(GeV^-2)
4.030000	-2.903080e+00
4.040000	-2.904580e+00
4.050000	-2.906060e+00
4.060000	-2.907530e+00
4.070000	-2.908990e+00
4.080000	-2.910440e+00
4.090000	-2.911880e+00
4.100000	-2.913300e+00
4.110000	-2.914710e+00
4.120000	-2.916120e+00
4.130000	-2.917510e+00
4.140000	-2.918890e+00
4.150000	-2.920250e+00
4.160000	-2.921610e+00
4.170000	-2.922950e+00
4.180000	-2.924280e+00
4.190000	-2.925600e+00
4.200000	-2.926920e+00
4.210000	-2.928220e+00
4.220000	-2.929510e+00
4.230000	-2.930790e+00
4.240000	-2.932060e+00
4.250000	-2.933320e+00
4.260000	-2.934560e+00
4.270000	-2.935800e+00
4.280000	-2.937030e+00
4.290000	-2.938240e+00
4.300000	-2.939450e+00
4.310000	-2.940650e+00
4.320000	-2.941830e+00
4.330000	-2.943010e+00
4.340000	-2.944170e+00
4.350000	-2.945330e+00
4.360000	-2.946470e+00
4.370000	-2.947610e+00
4.380000	-2.948740e+00
4.390000	-2.949850e+00
4.400000	-2.950960e+00
4.410000	-2.952060e+00
4.420000	-2.953150e+00
4.430000	-2.954230e+00
4.440000	-2.955300e+00
4.450000	-2.956360e+00
4.460000	-2.957410e+00
4.470000	-2.958460e+00
4.480000	-2.959490e+00
4.490000	-2.960520e+00
4.500000	-2.961540e+00
4.510000	-2.962550e+00
4.520000	-2.963550e+00
4.530000	-2.964540e+00
4.540000	-2.965520e+00
4.550000	-2.966500e+00
4.560000	-2.967470e+00
4.570000	-2.968430e+00
4.580000	-2.969380e+00
4.590000	-2.970320e+00
4.600000	-2.971260e+00
4.610000	-2.972190e+00
4.620000	-2.973110e+00
4.630000	-2.974020e+00
4.640000	-2.974920e+00
4.650000	-2.975820e+00
4.660000	-2.976710e+00
4.670000	-2.977590e+00
4.680000	-2.978470e+00
4.690000	-2.979340e+00
4.700000	-2.980200e+00
4.710000	-2.981050e+00
4.720000	-2.981900e+00
4.730000	-2.982740e+00
4.740000	-2.983570e+00
4.750000	-2.984390e+00
4.760000	-2.985210e+00
4.770000	-2.986020e+00
4.780000	-2.986830e+00
4.790000	-2.987630e+00
4.800000	-2.988420e+00
4.810000	-2.989210e+00
4.820000	-2.989990e+00
4.830000	-2.990760e+00
4.840000	-2.991530e+00
4.850000	-2.992290e+00
4.860000	-2.993040e+00
4.870000	-2.993790e+00
4.880000	-2.994530e+00
4.890000	-2.995270e+00
4.900000	-2.996000e+00
4.910000	-2.996730e+00
4.920000	-2.997450e+00
4.930000	-2.998160e+00
4.940000	-2.998870e+00
4.950000	-2.999570e+00
4.960000	-3.000270e+00
4.970000	-3.000960e+00
4.980000	-3.001640e+00
4.990000	-3.002320e+00
5.000000	-3.003000e+00
5.010000	-3.003670e+00
5.020000	-3.004330e+00
5.030000	-3.004990e+00
5.040000	-3.005650e+00
5.050000	-3.006300e+00
5.060000	-3.006940e+00
5.070000	-3.007580e+00
5.080000	-3.008210e+00
5.090000	-3.008840e+00
5.100000	-3.009470e+00
5.110000	-3.010090e+00
5.120000	-3.010700e+00
5.130000	-3.011310e+00
5.140000	-3.011920e+00
5.150000	-3.012520e+00
5.160000	-3.013120e+00
5.170000	-3.013710e+00
5.180000	-3.014290e+00
5.190000	-3.014880e+00
5.200000	-3.015460e+00
5.210000	-3.016050e+00
5.220000	-3.016630e+00
5.230000	-3.017200e+00
5.240000	-3.017770e+00
5.250000	-3.018330e+00
5.260000	-3.018870e+00
5.270000	-3.019420e+00
5.280000	-3.019950e+00
5.290000	-3.020490e+00
5.300000	-3.021020e+00
5.310000	-3.021560e+00
5.320000	-3.022090e+00
5.330000	-3.022620e+00
5.340000	-3.023140e+00
5.350000	-3.023660e+00
5.360000	-3.024170e+00
5.370000	-3.024690e+00
5.380000	-3.025190e+00
5.390000	-3.025700e+00
5.400000	-3.026200e+00
5.410000	-3.026690e+00
5.420000	-3.027190e+00
5.430000	-3.027670e+00
5.440000	-3.028160e+00
5.450000	-3.028640e+00
5.460000	-3.029130e+00
5.470000	-3.029600e+00
5.480000	-3.030080e+00
5.490000	-3.030550e+00
5.500000	-3.031020e+00
5.510000	-3.031480e+00
5.520000	-3.031940e+00
5.530000	-3.032400e+00
5.540000	-3.032850e+00
5.550000	-3.033300e+00
5.560000	-3.033750e+00
5.570000	-3.034200e+00
5.580000	-3.034640e+00
5.590000	-3.035080e+00
5.600000	-3.035520e+00
5.610000	-3.035950e+00
5.620000	-3.036380e+00
5.630000	-3.036810e+00
5.640000	-3.037240e+00
5.650000	-3.037660e+00
5.660000	-3.038080e+00
5.670000	-3.038500e+00
5.680000	-3.038910e+00
